iter	MultiClass
0	1.747582467
1	1.5217928362	1.370264713
3	1.253192463
4	1.164844736
5	1.089274195
6	1.028775186
7	0.97713456
8	0.9329794078
9	0.8950895573
10	0.8625788244
11	0.8347518783
12	0.8092408587
13	0.7874348916
14	0.7676660378
15	0.7507120437
16	0.7353154564
17	0.7209979401
18	0.7088084443
19	0.696936969
20	0.6867804243
21	0.6767845033
22	0.6693821725
23	0.6617569742
24	0.6545203152
25	0.6475362729
26	0.6417471312
27	0.6361365769
28	0.6316499747
29	0.6263567983
30	0.6223190918
31	0.6183400953
32	0.6146943924
33	0.611494159
34	0.6083349862
35	0.6062212657
36	0.6030940387
37	0.6009040872
38	0.5990870096
39	0.5962735645
40	0.5939543464
41	0.5912028134
42	0.5888083428
43	0.5871358976
44	0.585956603
45	0.5839875287
46	0.5826098491
47	0.5812696642
48	0.5793676458
49	0.5781033854
50	0.5772917387
51	0.5763053894
52	0.5746066731
53	0.5735011668
54	0.5722951463
55	0.5709562026
56	0.5695099901
57	0.5681318499
58	0.5668657765
59	0.5656240239
60	0.5650048252
61	0.5643659811
62	0.5632613861
63	0.5623036184
64	0.5615426138
65	0.5604536728
66	0.5596188315
67	0.558980484
68	0.557915442
69	0.5574406592
70	0.5567491963
71	0.5562299948
72	0.5553540605
73	0.5549491359
74	0.5541558365
75	0.5536261996
76	0.552774967
77	0.5521557158
78	0.5514479706
79	0.5508425973
80	0.5500841457
81	0.5496680944
82	0.5491397251
83	0.5484828275
84	0.5479720885
85	0.5476182062
86	0.5473343442
87	0.5470196568
88	0.546207098
89	0.5458131567
90	0.5451655725
91	0.54468568
92	0.5442236224
93	0.5438258807
94	0.5432853891
95	0.5426895479
96	0.5421835835
97	0.5419168828
98	0.5415881184
99	0.5411110214
100	0.5408472798
101	0.5401162389
102	0.5397968292
103	0.5393019292
104	0.5390709261
105	0.5385231941
106	0.5379546264
107	0.5374393353
108	0.5370164703
109	0.5366423476
110	0.5361750549
111	0.5356229205
112	0.5353401142
113	0.5349159433
114	0.5345042588
115	0.5341287973
116	0.5336695905
117	0.5333213551
118	0.533103894
119	0.5328321311
120	0.532584836
121	0.5322500662
122	0.5319850749
123	0.5316507673
124	0.5314844734
125	0.5312224425
126	0.5309222674
127	0.5306170395
128	0.5303788383
129	0.5301350775
130	0.5297807351
131	0.5294718209
132	0.5289852107
133	0.5286142069
134	0.5281813581
135	0.527653353
136	0.5273236953
137	0.5270102059
138	0.5267470685
139	0.5266144465
140	0.526263352
141	0.5259638539
142	0.5256525476
143	0.5253755377
144	0.5250355422
145	0.5248427334
146	0.5245813953
147	0.5243913025
148	0.5241839735
149	0.5239569711
150	0.5236745796
151	0.5235826925
152	0.5234501463
153	0.5232953035
154	0.5230351879
155	0.5227840819
156	0.5223743756
157	0.5220947913
158	0.5216736515
159	0.5214553253
160	0.5212030335
161	0.521063118
162	0.520716763
163	0.5203366689
164	0.520140077
165	0.5199900683
166	0.5197930152
167	0.5196373595
168	0.5194769271
169	0.5192374034
170	0.5190609542
171	0.5187297765
172	0.5185917565
173	0.5184460556
174	0.5181280649
175	0.5179086071
176	0.5178153802
177	0.5176584928
178	0.5174159831
179	0.5172892817
180	0.5170842062
181	0.516850916
182	0.516692265
183	0.516438513
184	0.5163503281
185	0.5161245977
186	0.5159103538
187	0.5157094734
188	0.5154860751
189	0.5152606999
190	0.5150658822
191	0.5149411258
192	0.5148106256
193	0.5146541065
194	0.5144689412
195	0.5143145888
196	0.5142061121
197	0.5139866259
198	0.5138567607
199	0.5136662217
200	0.5135093821
201	0.5134035087
202	0.5131123405
203	0.5129749445
204	0.5128725796
205	0.5127257599
206	0.5126057504
207	0.5123820368
208	0.5122455753
209	0.5121213071
210	0.5120584383
211	0.5119063618
212	0.5117202852
213	0.5116295519
214	0.5114482527
215	0.5112101203
216	0.5110448144
217	0.5109335161
218	0.5107137605
219	0.510496361
220	0.5103979785
221	0.5100358359
222	0.5099014357
223	0.5098327476
224	0.5096585867
225	0.5094491554
226	0.5093321447
227	0.5091989706
228	0.509084912
229	0.5089189214
230	0.508796715
231	0.5086406877
232	0.5084771086
233	0.5082961251
234	0.5081789947
235	0.5080722517
236	0.5079774806
237	0.5077165442
238	0.5075608061
239	0.5074523608
240	0.5072683997
241	0.5071653225
242	0.506789143
243	0.5065530608
244	0.5064224414
245	0.5063140533
246	0.5061888567
247	0.5060829578
248	0.5059139213
249	0.5058204481
250	0.5057332852
251	0.5056793856
252	0.5055260798
253	0.5054716767
254	0.5051947815
255	0.5050318296
256	0.5049266278
257	0.5048556392
258	0.5046471778
259	0.5044948876
260	0.5044250849
261	0.5042843972
262	0.5042150715
263	0.5041057449
264	0.5040141614
265	0.5037126088
266	0.5035031898
267	0.5034274495
268	0.5033830402
269	0.5031178053
270	0.5029493105
271	0.5029120158
272	0.5027011021
273	0.5025812115
274	0.5024832266
275	0.502341354
276	0.5022443056
277	0.5021442614
278	0.5020794414
279	0.5019863646
280	0.5018913953
281	0.5018376764
282	0.5017662536
283	0.5016555634
284	0.5015033517
285	0.5014156551
286	0.5013025354
287	0.5011758203
288	0.5011069355
289	0.5008349486
290	0.5007166268
291	0.5006168445
292	0.5005680326
293	0.5004644922
294	0.5003532199
295	0.5002267419
296	0.5001459689
297	0.5000254049
298	0.499963433
299	0.4999016781
300	0.499766987
301	0.4996912823
302	0.4995099603
303	0.4993968616
304	0.4992630235
305	0.4991328994
306	0.4990679121
307	0.4989433609
308	0.4987448319
309	0.4986494535
310	0.4985076775
311	0.498396959
312	0.4982877589
313	0.4981573712
314	0.4980809805
315	0.4979969346
316	0.4978785643
317	0.4977319885
318	0.497618898
319	0.4974930385
320	0.4973811191
321	0.4972624225
322	0.4971517046
323	0.4969843487
324	0.4967924425
325	0.4967245989
326	0.4966338147
327	0.4965100285
328	0.4963616228
329	0.4962749002
330	0.496162328
331	0.4960394192
332	0.4958589398
333	0.4956749693
334	0.4956036402
335	0.495536016
336	0.4954688641
337	0.495388338
338	0.4952671585
339	0.495152549
340	0.4951110982
341	0.4950434632
342	0.4949659505
343	0.4949047003
344	0.4948554177
345	0.4947055225
346	0.4946191846
347	0.4945605758
348	0.4944788847
349	0.4944212425
350	0.4943106579
351	0.494193445
352	0.4941105925
353	0.4940465621
354	0.493983388
355	0.4938478861
356	0.4937827154
357	0.4936947207
358	0.4936492936
359	0.4935603298
360	0.4934803938
361	0.4934002753
362	0.4932478928
363	0.4930481993
364	0.4929988991
365	0.4927669419
366	0.4926031425
367	0.4925525377
368	0.4924624116
369	0.4923038511
370	0.4921810903
371	0.492111838
372	0.4920651761
373	0.4920132661
374	0.4918822325
375	0.4918144981
376	0.4917154296
377	0.4916776704
378	0.4916190347
379	0.4915586637
380	0.4914875136
381	0.4914353412
382	0.4913512517
383	0.4912682403
384	0.4912027488
385	0.4911494095
386	0.491065571
387	0.4909904144
388	0.4909168925
389	0.4907726151
390	0.4906978024
391	0.4906052171
392	0.4905380018
393	0.4904517642
394	0.4904121538
395	0.4903519098
396	0.4901997466
397	0.4901216441
398	0.4900584607
399	0.4899633603
